Strain	Cluster_ID	Main_cluster	Sub_cluster	Clonal_complex
GCA_009102105.1_ASM910210v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009102405.1_ASM910240v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009102305.1_ASM910230v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101725.1_ASM910172v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101555.1_ASM910155v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009102385.1_ASM910238v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101705.1_ASM910170v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009102185.1_ASM910218v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101685.1_ASM910168v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101775.1_ASM910177v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101615.1_ASM910161v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009102215.1_ASM910221v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101515.1_ASM910151v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009101745.1_ASM910174v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
GCA_009103215.1_ASM910321v1	0.0	0	0	GCA_009102105.1_ASM910210v1,GCA_009102405.1_ASM910240v1,GCA_009102305.1_ASM910230v1,GCA_009101725.1_ASM910172v1,GCA_009101555.1_ASM910155v1,GCA_009102385.1_ASM910238v1,GCA_009101705.1_ASM910170v1,GCA_009102185.1_ASM910218v1,GCA_009101685.1_ASM910168v1,GCA_009101775.1_ASM910177v1,GCA_009101615.1_ASM910161v1,GCA_009102215.1_ASM910221v1,GCA_009101515.1_ASM910151v1,GCA_009101745.1_ASM910174v1,GCA_009103215.1_ASM910321v1,GCA_009101645.1_ASM910164v1,GCA_009153235.1_ASM915323v1,GCA_009102325.1_ASM910232v1,GCA_009102465.1_ASM910246v1,GCA_009101565.1_ASM910156v1,GCA_009101665.1_ASM910166v1,GCA_009102375.1_ASM910237v1,GCA_009102265.1_ASM910226v1,GCA_009102145.1_ASM910214v1,GCA_009102425.1_ASM910242v1,GCA_009102525.1_ASM910252v1,GCA_009102485.1_ASM910248v1,GCA_009102135.1_ASM910213v1,GCA_009102225.1_ASM910222v1,GCA_009102285.1_ASM910228v1,GCA_009102505.1_ASM910250v1,GCA_009102165.1_ASM910216v1,GCA_009101625.1_ASM910162v1,GCA_009101505.1_ASM910150v1,GCA_009102575.1_ASM910257v1,GCA_009102245.1_ASM910224v1,GCA_009101635.1_ASM910163v1,GCA_009102625.1_ASM910262v1,GCA_009102545.1_ASM910254v1
